,File_name,File_path,File_size_bytes,File_size,Creation_time,Modification_time,Title,Author,Pages,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version,Image_height,Image_width,Image_format,Image_mode,Image_is_animated,Frames_in_image
0,Jack Goldstone - Revolution and Rebellion in the Early Modern World _ 25th Anniversary Edition 2nd Edition-Routledge (2016).pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Социальная история/Литература. Социальная история/Семинар_7_Социальные движения/Jack Goldstone - Revolution and Rebellion in the Early Modern World _ 25th Anniversary Edition 2nd Edition-Routledge (2016).pdf,25541033,24.36 MB,Sun Dec 26 03:14:23 2021,Fri Mar 12 20:55:00 2021,,Adobe Acrobat 10.0 Paper Capture Plug-in; modified using iText 4.2.0 by 1T3XT,646.0,,,,,,,,,,,,,,,,,,,,,
0,Ричард Лахман - Что такое историческая социология_-Дело (2016).pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Социальная история/Литература. Социальная история/Семинар_7_Социальные движения/Ричард Лахман - Что такое историческая социология_-Дело (2016).pdf,35205003,33.57 MB,Wed Mar 17 12:10:44 2021,Sun Mar 14 18:43:01 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Малиа М. - Локомотивы истории.  Революции и становление современного мира-2015.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Социальная история/Литература. Социальная история/Семинар_7_Социальные движения/Малиа М. - Локомотивы истории.  Революции и становление современного мира-2015.pdf,8466989,8.07 MB,Tue Nov 30 03:11:40 2021,Fri Mar 12 20:55:00 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Семинар 11. Социальная история.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/Социальная история/Семинары. Социальная история /Семинар 11. Социальная история.docx,19047,18.6 KB,Tue Apr 25 15:12:05 2023,Tue Apr 13 16:00:32 2021,,,,Карнаухов Иван Алексеевич,,,,2021-04-13 11:42:00,,,,Карнаухов Иван Алексеевич,,2021-04-13 13:00:00,2.0,,,,,,,,,
0,26 апреля. Karnaukhov Ivan.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/26 апреля. Karnaukhov Ivan.docx,13464,13.15 KB,Tue Jan 25 11:30:01 2022,Mon Apr 26 10:41:47 2021,,,,Карнаухов Иван Алексеевич,,,,2021-04-26 04:33:00,,,,Карнаухов Иван Алексеевич,,2021-04-26 07:41:00,1.0,,,,,,,,,
0,Карнаухов ППР.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/Карнаухов ППР.docx,14076,13.75 KB,Tue Feb  8 12:08:55 2022,Mon Nov 30 12:58:47 2020,,,,Карнаухов Иван Алексеевич,,,,2020-11-30 09:19:00,,,,Карнаухов Иван Алексеевич,,2020-11-30 09:58:00,3.0,,,,,,,,,
0,23 февраля. Карнаухов Иван. Диктант.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/23 февраля. Карнаухов Иван. Диктант.docx,13229,12.92 KB,Tue Jan 25 11:30:01 2022,Mon Feb 22 12:31:37 2021,,,,Карнаухов Иван Алексеевич,,,,2021-02-22 06:47:00,,,,Карнаухов Иван Алексеевич,,2021-02-22 09:31:00,4.0,,,,,,,,,
0,"урок. 22, упр. 27. Карнаухов И. БИС181. .docx","/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/урок. 22, упр. 27. Карнаухов И. БИС181. .docx",13406,13.09 KB,Tue Jan 25 11:30:01 2022,Sun Feb  7 23:29:20 2021,,,,Карнаухов Иван Алексеевич,,,,2021-02-07 19:08:00,,,,Карнаухов Иван Алексеевич,,2021-02-07 20:29:00,4.0,,,,,,,,,
0,Generation_B1_Livre.pdf,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/Generation_B1_Livre.pdf,27775070,26.49 MB,Tue Jan 25 11:30:01 2022,Mon Oct 19 16:23:08 2020,,,,,,,,,,,,,,,,,,,,,,,,
0,Карнаухов И. А. 7 декабря - КР.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/7 декабря/Карнаухов И. А. 7 декабря - КР.docx,13992,13.66 KB,Mon Dec  7 11:32:32 2020,Mon Dec  7 11:32:32 2020,,,,Карнаухов Иван Алексеевич,,,,2020-12-07 06:39:00,,,,Карнаухов Иван Алексеевич,,2020-12-07 08:32:00,2.0,,,,,,,,,
0,Карнаухов И. А. 7 декабря - ППР.docx,/Users/karnaukhovivan/Desktop/3 курс/2 семестр/книги на французском/7 декабря/Карнаухов И. А. 7 декабря - ППР.docx,11752,11.48 KB,Mon Dec  7 09:41:46 2020,Mon Dec  7 09:41:45 2020,,,,Карнаухов Иван Алексеевич,,,,2020-12-07 06:41:00,,,,Карнаухов Иван Алексеевич,,2020-12-07 06:41:00,1.0,,,,,,,,,
0,plamper_ia_istoriia_emotsii.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 1. Наука о чувствах/plamper_ia_istoriia_emotsii.pdf,5787374,5.52 MB,Thu Mar 11 16:01:43 2021,Wed Mar  3 23:09:12 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Семинар 1. Наука о чувствах.docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 1. Наука о чувствах/Семинар 1. Наука о чувствах.docx,11785,11.51 KB,Thu Mar 11 16:01:43 2021,Wed Mar  3 23:00:47 2021,,,,Карнаухов Иван Алексеевич,,,,2021-03-03 20:00:00,,,,Карнаухов Иван Алексеевич,,2021-03-03 20:00:00,1.0,,,,,,,,,
0,Реше.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 1. Наука о чувствах/Реше.pdf,75280,73.52 KB,Wed Mar  3 23:09:40 2021,Wed Mar  3 23:06:51 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,"(Научная библиотека) Плампер Ян, Шахадат Шамма, Эли Марк - Российская империя чувств  Подходы к культурной истории эмоций-Новое литературное обозрение (2010).pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 1. Наука о чувствах/(Научная библиотека) Плампер Ян, Шахадат Шамма, Эли Марк - Российская империя чувств  Подходы к культурной истории эмоций-Новое литературное обозрение (2010).pdf",172523406,164.53 MB,Tue Jun  8 20:30:49 2021,Wed Mar  3 23:12:05 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Семинар 4. Наука о чувствах.docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/Семинар 4. Наука о чувствах.docx,13211,12.9 KB,Fri Mar 19 19:24:55 2021,Fri Mar 19 19:24:55 2021,,,,Карнаухов Иван Алексеевич,,,,2021-03-19 16:22:00,,,,Карнаухов Иван Алексеевич,,2021-03-19 16:24:00,2.0,,,,,,,,,
0,Плампер_История эмоций(1).docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Плампер_История эмоций(1).docx,6336,6.19 KB,Mon Apr 12 22:48:36 2021,Sat Mar  6 04:24:18 2021,,,,,,,,,,,,python-docx,,2023-10-20 16:07:43,1.0,,Word Document,,,,,,,
0,Yukhannison_Karin_Istoria_melankholii.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Yukhannison_Karin_Istoria_melankholii.pdf,4916082,4.69 MB,Sun Dec 26 03:17:30 2021,Sun Feb 28 16:15:28 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Плампер_История эмоций.docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Плампер_История эмоций.docx,6336,6.19 KB,Mon Apr 12 22:48:36 2021,Sat Mar  6 04:24:54 2021,,,,,,,,,,,,python-docx,,2023-10-20 16:07:43,1.0,,Word Document,,,,,,,
0,Radkau_J_Epokha_nervoznosti_Germania_ot_Bismarka_do_Gitlera.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 4. Наука о чувствах/drive-download-20210319T162549Z-001/Radkau_J_Epokha_nervoznosti_Germania_ot_Bismarka_do_Gitlera.pdf,3698722,3.53 MB,Mon Apr 12 22:48:36 2021,Sun Feb 28 16:16:14 2021,Радкау 03082017 копия.indd,GPL Ghostscript 9.07,553.0,,,,,,,,,,,,,,,,,,,,,
